artist,id
Caraslargas,0m1sq1ANnN9n8MbNpfvzq4
Bender Bucowski,6i5Zx8vR9kRUFfDnZRKAMa
Girafa,22oDY0ki8TOUPcek8EmdXN
Elmalamia,1SoXdL4dbR3tJudByWGLkM
Jaco Sanchez,4W1hsgMWRzQblI8B18DTgs
Matu Cosmelli,3dyImRirr2cNkiQr3MVhaN
Parresia,2S4qLEkknckTwKjGyNtITf
C-funk,4W818VxLQukD34t6dFjoRO
Los Tetas,4yjiCh3gayolGLTCVpHojS
Pillanes,1zueZaXbZoabrykNgXTtHg
Rulo,1hESVb5p8cUHjbj9YzfklQ
Jorge Gonzalez,4Dqwi7dnhN0j8X1i98mdKG
Alvaro Henriquez,45H7NFSk6h7YyYP6BiB3EP
Electrodomesticos,1jW8O5TTQQUb1G05GLxSEn
Mecanica Popular,6Bju4dnhxslFAv4cVuFVWV
Angel Parra Trio,06hxCeDcTDV3cuOyws488C
Carlos Cabezas,64qyErWq0ieALSFbxDpScT
Sondelvalle,1en2WgpLwFV2kiSnCqW0gl
Combo Chabela,28hLbTZJSYiImNaqoUGMdP
Anarkia Tropical,5faoRgtvabwICan9170dvD
Seiscuerdas,1B59B61fbQVwFdvlZQ1RWM
Soy Irracional,6PKKXAHepFCoV4cAtwPUna
Juanito Ayala,4Wy8CFlIS11ODC9wVKBSz4
LaSmala,5kW1uEpIpdfZyCrjaaX208
Waly,1hiKLjsL5uJ1RswZDhWJAP
Moral Distraida,4IdI1p8OrVpot6dbdCl3wv
Sonora 5 Estrellas,0oGbFTtR8UqMpgDFLpFKc1
Juana Fe,5CE7PcyVcEKMSuQA4IHF7d
Ana Tijoux,40JMTpVRUw90SrN4pFA6Mz
Tiro de Gracia,3yIbPI61iAhMptDnfnyScb
Makiza,3XaUjViDzB8N9bPqPeoWk5
Hortadoj,6EQAbr4kKwE4EaGBzUpONu
Mamma Soul,6v6v20hL82eZfIRpGeocjj
Banda Conmocion,2UNMW1OKE0X1cwJHWER67g
Los Picantes,2yvZnt3TKXoYhdcbQi6vpO
Tito Fernandez,6Km7WV9r7ozleZwjX1armg
Zalo Reyes,0EShyzemaVRTIukphkQZBZ
Grupo Hechizo,2j7cp8QCujOktjxUXuNou3
Amerikan Sound,497ma3Q1UnHPhvRQKyoxW2
Sonora Malecon,0VqdDDrHPFAdqzDR08FySM
La Gran Magia Tropical,25n4vLuiRlvNe67pJ8WvdP
Garras de Amor,6kcdJiENvD273QC9rFoP5a
La Sonora De Tommy Rey,0gOdu2BvlfycjQlrtk0CQv
